left_hip_pitch_joint,right_hip_pitch_joint,left_hip_roll_joint,right_hip_roll_joint,left_hip_yaw_joint,right_hip_yaw_joint,left_knee_joint,right_knee_joint,left_ankle_pitch_joint,right_ankle_pitch_joint,left_ankle_roll_joint,right_ankle_roll_joint,rf_x,rf_y,rf_z,lf_x,lf_y,lf_z,rk_x,rk_y,rk_z,lk_x,lk_y,lk_z
5.602507000000014198e-02,5.602506999999995463e-02,-5.157214446073606247e-03,-1.269866956932745594e-02,-2.722713500000002035e-02,-2.722713500000006892e-02,5.707226499999992070e-02,5.511812794373183166e-17,-3.078187931361825447e-02,1.946735226135323793e-02,-2.896235082470085057e-03,-5.917990493522699846e-03,1.000000000000000056e-01,-1.100000000000000006e-01,-6.800000000000000488e-01,-1.000000000000000056e-01,1.100000000000000006e-01,-6.800000000000000488e-01,1.073201893475363572e-01,-1.195885107720840584e-01,-3.847760103330669645e-01,-7.320189347536358582e-03,1.004114892279159427e-01,-3.552239896669330266e-01
8.753369844508290809e-02,2.801253499999997176e-01,-9.957874353573004447e-03,1.125797115913970171e-02,-5.123196893686413761e-02,-1.361356750000001503e-01,1.827582554784296931e-01,-4.946236946381838556e-02,-1.878615193136183026e-01,-1.376122877386468657e-01,-7.795323038457310956e-03,1.751293386431226982e-03,9.876883405951378259e-02,-1.100000000000000006e-01,-6.909504125528161955e-01,-9.876883405951378259e-02,1.100000000000000006e-01,-6.690495874471839022e-01,1.038407099730085659e-01,-1.222161434652174195e-01,-3.920664707569723739e-01,-3.840709973008581135e-03,9.778385653478258166e-02,-3.479335292430276727e-01
3.051326668233094591e-02,4.714795584776262372e-01,-1.221691509308706937e-02,3.049770740420318024e-02,-3.583999201970701487e-03,-2.450442150000001207e-01,2.624772222420786449e-01,-2.777514294638183667e-01,-2.777025112762258052e-01,-6.178866892043738401e-02,-1.186514301381990689e-02,3.591078237585633177e-03,9.510565162951535589e-02,-1.100000000000000006e-01,-7.016311896062463749e-01,-9.510565162951535589e-02,1.100000000000000006e-01,-6.583688103937537228e-01,9.903549363187347243e-02,-1.245429741631813997e-01,-3.988135814364233145e-01,9.645063681265192423e-04,9.545702583681860143e-02,-3.411864185635766766e-01
-3.182469956706904246e-02,4.825571319194982833e-01,-1.631095271017334730e-02,3.601757114369692064e-02,4.760978460578088600e-02,-3.105462817464516578e-01,3.318310762431904704e-01,-3.294623627136656907e-01,-3.038980738253910796e-01,-1.403693783257806485e-02,-1.497537073616356934e-02,-1.394415733613900595e-02,8.910065241883680098e-02,-1.100000000000000006e-01,-7.117793349817683746e-01,-8.910065241883680098e-02,1.100000000000000006e-01,-6.482206650182317231e-01,9.302286069804854840e-02,-1.265117085718837631e-01,-4.048512061141152918e-01,6.977139301951450212e-03,9.348829142811622417e-02,-3.351487938858846993e-01
-1.095440164439476227e-01,4.378327646745294732e-01,-2.363093911888411794e-02,2.442752559808833088e-02,1.102303298053239483e-01,-2.808766207310248175e-01,4.144670040180250536e-01,-2.956844342744054388e-01,-3.318606399744239988e-01,-1.181950594165438392e-02,-1.744834195797069151e-02,-1.581220011883726836e-02,8.090169943749475623e-02,-1.100000000000000006e-01,-7.211449676604732018e-01,-8.090169943749475623e-02,1.100000000000000006e-01,-6.388550323395268959e-01,8.595086214914918199e-02,-1.280738699163274097e-01,-4.100306784327559795e-01,1.404913785085080274e-02,9.192613008367259142e-02,-3.299693215672440116e-01
-1.980252584674868921e-01,3.907770910612053394e-01,-3.546130828707411836e-02,1.395745068170946637e-02,1.798054270238229058e-01,-2.498681753094914582e-01,5.040400623752555598e-01,-2.652652872371172310e-01,-3.478084868835236154e-01,-5.665135707424489610e-03,-1.886179359351085674e-02,-1.743836433997831767e-02,7.071067811865475172e-02,-1.100000000000000006e-01,-7.294974746830583667e-01,-7.071067811865475172e-02,1.100000000000000006e-01,-6.305025253169417310e-01,7.799363406006687427e-02,-1.291909925996957975e-01,-4.142244625941773895e-01,2.200636593993310700e-02,9.080900740030418972e-02,-3.257755374058226017e-01
-2.895442438271156882e-01,3.420655580669864082e-01,-5.160185761764786438e-02,4.841596800707925405e-03,2.492728236117782159e-01,-2.178979181573513224e-01,5.905772754060474306e-01,-2.382376076122401654e-01,-3.489874054302202211e-01,3.968751634423122940e-03,-1.860051705329296770e-02,-1.872202141505543982e-02,5.877852522924729289e-02,-1.100000000000000006e-01,-7.366311896062464060e-01,-5.877852522924729289e-02,1.100000000000000006e-01,-6.233688103937536917e-01,6.934710979488076243e-02,-1.298355693540068356e-01,-4.173292937139536085e-01,3.065289020511920842e-02,9.016443064599316548e-02,-3.226707062860464381e-01
-3.793666186176564148e-01,2.922088815107674042e-01,-7.120691218717950521e-02,-2.782043068536598808e-03,3.145830763653503781e-01,-1.851921758786875261e-01,6.714022972977710113e-01,-2.142641032439309701e-01,-3.490610878393887728e-01,1.639386155130752656e-02,-1.703940650099482548e-02,-1.958198324617076852e-02,4.539904997395466379e-02,-1.100000000000000006e-01,-7.423704566931857984e-01,-4.539904997395466379e-02,1.100000000000000006e-01,-6.176295433068142993e-01,6.022419547716856975e-02,-1.299917285603417461e-01,-4.192687205455720156e-01,3.977580452283140111e-02,9.000827143965824118e-02,-3.207312794544279755e-01
-4.622966700845650978e-01,2.418044428697327664e-01,-9.227356484349842625e-02,-8.810760645499160146e-03,3.717175436341771388e-01,-1.520718893937039184e-01,7.407176957583163635e-01,-1.930679167300501653e-01,-3.490656929899617622e-01,3.098756273245661941e-02,-1.457753667466899980e-02,-1.996643096951366755e-02,3.090169943749470835e-02,-1.100000000000000006e-01,-7.465739561406607994e-01,-3.090169943749470835e-02,1.100000000000000006e-01,-6.134260438593392983e-01,5.084952753464909436e-02,-1.296556250607778793e-01,-4.199949879638495975e-01,4.915047246535086262e-02,9.034437493922210793e-02,-3.200050120361503936e-01
-5.348385334435549199e-01,1.915338529941716106e-01,-1.124415214035179716e-01,-1.318858593751950394e-02,4.184620240836821048e-01,-1.189504629203667341e-01,7.942577162456431195e-01,-1.744406738135728940e-01,-3.490659808118725671e-01,4.719277263854528698e-02,-1.166413895973206910e-02,-1.985221780112788117e-02,1.564344650402302653e-02,-1.100000000000000006e-01,-7.491381838416597549e-01,-1.564344650402302653e-02,1.100000000000000006e-01,-6.108618161583403428e-01,4.145394140480631456e-02,-1.288355348389380872e-01,-4.194902128546049713e-01,5.854605859519368405e-02,9.116446516106190001e-02,-3.205097871453950198e-01
